,,File-Name,Image URL,,,,,,,,,,,,,,,,,
15,Ladies,Puma-Crewneck-Zip-Fleece-Sweater-Rapture-Rose,https://cdn.shopify.com/s/files/1/0312/6537/products/595849-Rapture-Rose-F_1024x1024.jpg?v=1581701907,,,,,,,,,,,,,,,,Adidas-ULT-365-Full-YR-Trace-Royal-Mel.-Solar-Yellow-Light-Blue,https://dks.scene7.com/is/image/GolfGalaxy/20ADDMLT365FLLYRSAPT_Trace_Royal?qlt=70&wid=992&fmt=webp
16,Ladies,Lija-Duo-Polo-1593G2-Black,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1593G2_black_TF-2383_1024x1024.jpg?v=1584595109,,,,,,,,,,,,,,,,,
17,Ladies,Lija-Duo-Polo-1593G2-Black,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1593G2_black_TF-2383_1024x1024.jpg?v=1584595109,,,,,,,,,,,,,,,,Adidas-ULT-365-Bos-Polo-White-Collegiate-Navy,https://tshop.r10s.jp/adidas/cabinet/202006w/fj9828-s1.jpg?fitin=330:330
18,Ladies,Lija-Duo-Polo-1593G2-Grotto,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1593G2_grotto_blue_TF-2643_1024x1024.jpg?v=1584595109,,,,,,,,,,,,,,,,,
19,Ladies,Lija-Haze-Polo-1676G2-Periwinkle,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1676G2_periwinkle_TF-2788_1024x1024.jpg?v=1584595121,,,,,,,,,,,,,,,,,
20,Ladies,Lija-Haze-Polo-1676G2-Periwinkle,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1676G2_periwinkle_TF-2788_1024x1024.jpg?v=1584595121,,,,,,,,,,,,,,,,,
21,Ladies,Lija-Haze-Polo-1676G2-White,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1690G2_white_tie_dye_TF-2610_1024x1024.jpg?v=1584595121,,,,,,,,,,,,,,,,Adidas-ULT-365-Heather-Polo-Trace-Royal--Sky-Tint--Light-Blue-Mel.,https://www.function18.com/media/catalog/product/cache/1/image/940x/9df78eab33525d08d6e5fb8d27136e95/a/d/adidas_golf_ultimate365_engineered_heather_shirt_fj9832_1.jpg
22,Ladies,Lija-Haze-Polo-1676G2-White,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_1690G2_white_tie_dye_TF-2610_1024x1024.jpg?v=1584595121,,,,,,,,,,,,,,,,,
23,Ladies,Lija-Flight-Skort-4576G2-Grotto-Blue,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_4576G2_grotto_blue_BF-2731_grande.jpg?v=1584595128,,,,,,,,,,,,,,,,Adidas-ULT-365-Heather-Polo-White-Black-Black-Melange,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/c93e2eeaa8e3438192a2aad501705e89_9366/Ultimate365_Engineered_Heathered_Polo_Shirt_White_FJ9830_21_model.jpg"
24,Ladies,Lija-Flight-Skort-4576G2-Grotto-Blue,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_4576G2_grotto_blue_BF-2731_grande.jpg?v=1584595128,,,,,,,,,,,,,,,,,
25,Ladies,Lija-Printed-Flight-Skort-4580G2-Tie-Dye,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_4580G2_tie_dye_BF-2654_grande.jpg?v=1584595783,,,,,,,,,,,,,,,,Adidas-Sport-LS-Polo-Collegiate-Navy,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/ad815250eecb44ce9c5aaad10153bbe1_9366/Sport_Long_Sleeve_Polo_Shirt_Blue_FJ9924_21_model.jpg"
26,Ladies,Lija-Printed-Flight-Skort-4580G2-Tie-Dye,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_4580G2_tie_dye_BF-2654_grande.jpg?v=1584595783,,,,,,,,,,,,,,,,,
27,Ladies,Lija-Nitra-Trail-Jkt-6522T2-Grotto-Blue,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_6522T1_navy_TF-0608_1024x1024.jpg?v=1584597326,,,,,,,,,,,,,,,,,
28,Ladies,Lija-Nitra-Trail-Jkt-6522T2-Grotto-Blue,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_6522T1_navy_TF-0608_1024x1024.jpg?v=1584597326,,,,,,,,,,,,,,,,Adidas-ULT-365-Blocked-Polo-Trace-Royal--Collegiate-Navy,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/42b9c4af4c8b442d943daab2012295f9_9366/Ultimate365_Blocked_Polo_Shirt_Blue_FJ9942_21_model.jpg"
29,Ladies,Lija-Celia-Jacket-6523T2-Tie-Dye,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_6523T2_tiedye_TF-1675_1024x1024.jpg?v=1584595098,,,,,,,,,,,,,,,,,
30,Ladies,Lija-Celia-Jacket-6523T2-Tie-Dye,https://cdn.shopify.com/s/files/1/1376/5249/products/20S_6523T2_tiedye_TF-1675_1024x1024.jpg?v=1584595098,,,,,,,,,,,,,,,,,
31,Ladies,SunIce-64506-Maci-Vest-Tango-Orange/Oyster,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30019/98227/S64506_8084P__14639.1580754908.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,Adidas-ULT-365-Blocked-Print-Polo-Sky-Tint--Trace-Royal-Collegiate-Navy,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/1a615540493449428dd8aad500f62222_9366/Ultimate365_Blocked_Print_Polo_Shirt_Blue_FP8646_21_model.jpg"
32,Ladies,SunIce-64506-Maci-Vest-Tango-Orange/Oyster,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30019/98227/S64506_8084P__14639.1580754908.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
33,Ladies,SunIce-72503-Elena-Jacket-Black,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30020/98233/S72503_02__30475.1580755795.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
34,Ladies,SunIce-72503-Elena-Jacket-Black,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30020/98233/S72503_02__30475.1580755795.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
35,Ladies,SunIce-72503-Elena-Jacket-Charcoal,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30025/98257/S72503_85M__82558.1580756475.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,Galvin-Green-Marty-Tour-Polo-White-Iron-Grey,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MARTY%20TOUR/S776617/MARTY_TOUR_EDITION_S776617.jpg
36,Ladies,SunIce-72503-Elena-Jacket-Charcoal,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30025/98257/S72503_85M__82558.1580756475.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
37,Ladies,Daily-Miracle-Dress-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3554/13114/Miracle-SL-Dress-DSP-01648_1080__40937.1578427820.jpg?c=2,,,,,,,,,,,,,,,,Galvin-Green-Marty-Tour-Polo-Navy-White,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MARTY%20TOUR/S776631/MARTY_S776631.jpg
38,Ladies,Daily-Miracle-Dress-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3554/13114/Miracle-SL-Dress-DSP-01648_1080__40937.1578427820.jpg?c=2,,,,,,,,,,,,,,,,,
39,Ladies,Daily-Miracle-Dress-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3554/13114/Miracle-SL-Dress-DSP-01648_1080__40937.1578427820.jpg?c=2,,,,,,,,,,,,,,,,Galvin-Green-Marty-Tour-Polo-Black-White,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MARTY%20TOUR/S776671/MARTY_TOUR_S776671.png
40,Ladies,Daily-Selena-Cap-Dress-Sangria,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3560/13135/Selena-Cap-S-Dress-DSP-01710_1080__58965.1578509920.jpg?c=2,,,,,,,,,,,,,,,,,
